ID,Groupe,Type_de_paire,Normaux_ou_TC,rôle,Sexe,O_ethinique,SSE,code,code_paire,impuls_1,impuls_2,impuls_3,impuls_4,impuls_5,impuls_6,impuls_7,impuls_8,impuls_9,impuls_10,impuls_11,impuls_12,impuls_13,impuls_14,impuls_15,impuls_16,impuls_17,impuls_18,impuls_19,impuls_20,impuls_21,impuls_22,impuls_23,impuls_24,impuls_25,impuls_26,impuls_27,impuls_28,impuls_29,impuls_30,sensibil_1a,sensibli_1b,sensibil_1c,sensibil_2a,sensibli_2b,sensibil_2c,sensibil_3a,sensibli_3b,sensibil_3c,sensibil_4a,sensibli_4b,sensibil_4c,sensibil_5a,sensibli_5b,sensibil_5c,sensibil_6a,sensibli_6b,sensibil_6c,habil_soc_1,habil_soc_2,habil_soc_3,habil_soc_4,habil_soc_5,habil_soc_6,habil_soc_7,habil_soc_8,habil_soc_9,habil_soc_10,habil_soc_11,habil_soc_12,habil_soc_13,habil_soc_14,habil_soc_15,habil_soc_16,habil_soc_17,habil_soc_18,habil_soc_19,habil_soc_20,habil_soc_21,habil_soc_22,habil_soc_23,habil_soc_24,habil_soc_25,habil_soc_26,habil_soc_27,habil_soc_28,habil_soc_29,habil_soc_30,habil_soc_31,habil_soc_32,habil_soc_33,habil_soc_34,habil_soc_35,habil_soc_36,habil_soc_37,habil_soc_38,habil_soc_39,habil_soc_40,habil_soc_41,habil_soc_42,habil_soc_43,habil_soc_44,habil_soc_45,habil_soc_46,prob_cpt_1,prob_cpt_2,prob_cpt_3,prob_cpt_4,prob_cpt_5,prob_cpt_6,prob_cpt_7,prob_cpt_8,prob_cpt_9,prob_cpt_10,prob_cpt_11,prob_cpt_12,prob_cpt_13,prob_cpt_14,prob_cpt_15,prob_cpt_16,altruisme_1,altruisme_2,altruisme_3,altruisme_4,altruisme_5,altruisme_6,gratif_1,gratif_2,gratif_3,gratif_4,gratif_5,gratif_6,gratif_7,gratif_8,gratif_9,gratif_10,gratif_11,gratif_12,gratif_13,gratif_14,gratif_15,gratif_16,gratif_17,gratif_18,gratif_19,gratif_20,gratif_21,gratif_22,gratif_23,gratif_24,gratif_25,gratif_26,gratif_27,cupidite_1,cupidite_2,cupidite_3,cupidite_4,cupidite_5,cupidite_6,cupidite_7,cupidite_8,cupidite_9,cupidite_10,cupidite_11,trav_equ_1,trav_equ_2,trav_equ_3,trav_equ_4,trav_equ_5,trav_equ_6,collab_1,collab_2,collab_3,collab_4,collab_5,collab_6,collab_7,collab_8,collab_9,collab_10,collab_11,collab_12,collab_13,collab_14,collab_15,collab_16,collab_17,collab_18,collab_19,collab_20,collab_21,collab_22,empath_1,empath_2,empath_3,empath_4,empath_5,empath_6,empath_7,empath_8,empath_9,empath_10,empath_11,empath_12,empath_13,empath_14,motiv_1,motiv_2,motiv_3,inv_1,avoir_1,afi_1,profit_1,remise_1,afb_1,inv_2,avoir_2,afi_2,profit_2,remise_2,afb_2,inv_3,avoir_3,afi_3,profit_3,remise_3,afb_3,inv_4,avoir_4,afi_4,profit_4,remise_4,afb_4,inv_5,avoir_5,afi_5,profit_5,remise_5,afb_5,inv_6,avoir_6,afi_6,profit_6,remise_6,afb_6,inv_7,avoir_7,afi_7,profit_7,remise_7,afb_7,inv_8,avoir_8,afi_8,profit_8,remise_8,afb_8,inv_9,avoir_9,afi_9,profit_9,remise_9,afb_9,inv_10,avoir_10,afi_10,profit_10,remise_10,afb_10,avoir_investisseur_Total_sans_coup_10,avoir_banquier_Total_sans_coup_10,pourcentage_investissement_jeu_1,pourcentage_remise_jeu_1,pourcentage_investissement_jeu_2,pourcentage_remise_jeu_2,pourcentage_investissement_jeu_3,pourcentage_remise_jeu_3,pourcentage_investissement_jeu_4,pourcentage_remise_jeu_4,pourcentage_investissement_jeu_5,pourcentage_remise_jeu_5,pourcentage_investissement_jeu_6,pourcentage_remise_jeu_6,pourcentage_investissement_jeu_7,pourcentage_remise_jeu_7,pourcentage_investissement_jeu_8,pourcentage_remise_jeu_8,pourcentage_investissement_jeu_9,pourcentage_remise_jeu_9,Investissement_moyen_sans_coup_10,Remise_moyenne_sans_coup_10,Gain_dyade_sans_coup_10,Gain_banquier_sans_coup_10,Somme_motivation,impuls_1_inv,impuls_7_inv,impuls_8_inv,impuls_9_inv,impuls_10_inv,impuls_12_inv,impuls_13_inv,impuls_15_inv,impuls_20_inv,impuls_29_inv,impuls_30_inv,sensibil_6c_inv,sensibli_1d,sensibil_1e,sensibil_2d,sensibil_2e,sensibil_3d,sensibil_3e,sensibil_4d,sensibil_4e,sensibil_5d,sensibil_5e,sensibil_6d,sensibil_6e,altruis_1_inv,altruis_2_inv,altruis_3_inv,altruis_4_inv,altruis_5_inv,gratif_2_inv,gratif_5_inv,gratif_7_inv,gratif_9_inv,gratif_11_inv,gratif_14_inv,gratif_16_inv,gratif_17_inv,gratif_18_inv,gratif_19_inv,gratif_25_inv,gratif_26_inv,gratif_27_inv,cupidite_8_inv,trav_equ_6_inv,collab_5_inv,collab_15_inv,collab_16_inv,collab_18_inv,collab_19_inv,collab_21_inv,empath_2_inv,empath_3_inv,empath_7_inv,empath_8_inv,empath_9_inv,Impulsivite_attentionnelle,Impulsivite_motrice,Impulsivite_manque_de_planif,impuls_moy,sensibilite_anxiete_moy,sensibilite_frustration_moy,HS_Communication,HS_Cooperation,HS_Affirmation,HS_Responsabilite,HS_Empathie,HS_Engagement,HS_Autocontrole,habil_soc_moy,Prob_cpt_externalises,Prob_cpt_Hyper_inat,Prob_cpt_moy,Gratif_Nourriture,Gratif_Social,Gratif_Argent,Gratif_Scolaire,gratif_moy,cupidite_moy_8items,altruisme_moy,Trav_equ_individ,Trav_equ_equipe,cupidite_moy,IS_Coop,IS_compet,IS_Individ,Empath_perspective,Empath_preoccup,Invest_moyen_1_10,Invest_moyen_1_9,Invest_moyen_2_9,Remise_moyen_1_10,Remise_moyen_1_9,Remise_moyen_2_9,Gain_total_paire,Invest_1_2_3,Invest_4_5_6,Invest_7_8_9,Remise_1_2_3,Remise_4_5_6,Remise_7_8_9,jj_mm_aa,CP,FAC1_1_Varimax,FAC2_1_Varimax,FAC3_1_Varimax,FAC4_1_Varimax,FAC5_1_Varimax,FAC6_1_Varimax,FAC1_1_Oblimin,FAC2_1_Oblimin,FAC3_1_Oblimin,FAC4_1_Oblimin,FAC5_1_Oblimin,FAC6_1_Oblimin
1,1,0,1,999,2,3,2,999,999,3,2,3,2,1,2,3,3,3,3,2,3,4,3,2,2,2,2,2,2,2,1,1,3,2,3,1,2,1,3,2,6,1,1,1,6,1,2,1,1,1,3,1,2,1,1,1,5,4,4,2,4,4,3,2,4,4,3,3,3,3,4,2,4,3,4,2,3,1,3,4,3,4,3,4,4,4,4,4,3,4,4,2,3,4,3,4,4,1,3,2,4,4,2,2,1,2,2,3,4,2,3,4,2,3,2,2,2,2,2,2,1,2,5,2,3,5,3,5,4,1,3,4,5,5,5,4,2,3,1,5,4,2,1,1,4,3,4,5,3,2,4,1,5,5,1,1,5,2,3,4,5,1,4,4,4,4,4,3,3,3,5,5,4,3,2,4,1,3,2,5,1,1,1,3,5,2,2,3,2,3,2,2,3,4,4,4,3,4,3,2,2,4,3,3,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,3,,4,2,2,2,6,6,6,1,2,3,3,1,2,2,2,4,5,4,1,4,3,5,2,1,2,5,2,4,5,5,4,2,5,2,3,3,3,1,4,3,3,3,2,2,3,4,2.14,1.91,2.18,2.08,2.5,3.5,3.5,3.14,3.29,3.86,3,3.57,2.33,3.24,2.33,2.71,2.38,3.14,3.33,4,4.43,3.73,3.38,3.5,4,3.5,3.09,3,2.63,2.57,3,2.71,,,,,,,,,,,,,,0,0,0.29754,-0.49475,-0.49335,1.29672,-1.55597,-0.72532,0.12906,-0.35388,-1.49665,1.1089,-0.54708,-0.95169
2,1,0,1,1,2,1,2,1,3,4,2,3,2,3,4,2,2,3,3,1,2,3,4,2,1,3,3,3,2,1,2,2,1,2,2,3,3,2,3,3,2,4,4,2,3,5,3,2,2,3,2,3,1,5,1,1,3,2,3,4,3,3,4,4,3,1,3,4,3,4,3,4,4,4,4,2,3,1,3,3,2,3,3,2,4,2,4,3,2,4,3,4,2,4,4,4,4,1,2,4,3,3,1,4,3,4,3,3,4,3,4,3,1,3,4,4,2,2,3,2,2,1,3,1,4,5,4,5,3,1,4,2,4,5,4,4,5,4,1,5,1,2,3,1,4,3,2,3,5,1,5,2,4,1,1,4,4,2,2,5,4,1,5,4,4,5,4,4,3,2,3,5,1,1,1,5,1,5,5,2,4,4,4,5,2,5,5,5,5,2,5,4,5,3,4,5,3,1,3,2,5,2,3,1,4,6,7,7,7,13,13,21,4,17,11,9,9,33,11,22,9,11,11,27,7,20,1,19,19,3,1,2,4,16,16,12,3,9,14,6,6,42,15,27,18,12,12,54,25,24,20,0,0,60,25,35,9,12,12,24,5,19,5,15,15,15,0,15,98,175,35,19.05,55,33.33,45,25.93,5,33.33,20,25,70,35.71,90,46.3,100,41.67,45,20.83,10.33,10.67,273,175,,1,3,3,2,2,3,2,3,3,3,2,4,12,8,12,6,10,6,4,6,15,5,4,4,4,4,5,3,5,2,5,4,1,2,5,5,4,3,5,5,1,4,1,3,5,1,4,1,1,4,1,3,5,3,4,2.38,2.09,2.73,2.4,9.5,5.83,3.67,2.29,3.29,2.86,3.67,3.71,1.83,3.04,3.17,3.14,3.13,4.29,3.67,3.43,3.71,3.77,3,4.17,4.5,3.75,2.64,3.86,3.88,2.14,2.57,4.14,9.8,10.33,10.75,9.6,10.67,11.5,303,9,6.33,15.67,7.33,6.33,18.33,0,0,-1.89174,0.67106,0.30243,1.19421,-0.15226,0.6966,-1.5137,0.53339,-0.14473,1.18401,0.44122,0.24242
3,1,0,1,1,1,5,1,2,4,3,1,2,2,2,2,2,3,3,4,2,3,3,2,4,2,2,1,4,3,2,3,1,3,1,4,2,2,4,4,2,1,3,4,3,3,2,1,1,1,1,3,3,2,3,4,3,5,3,3,3,4,3,4,1,2,4,2,2,2,1,3,2,3,3,3,4,3,3,3,3,4,3,2,2,3,4,2,3,3,3,2,2,3,2,3,3,3,3,2,2,2,2,2,2,1,4,2,1,1,3,2,2,2,4,1,2,3,1,1,3,5,4,4,5,2,2,5,4,3,2,2,1,3,5,3,4,2,2,1,3,2,2,1,2,2,3,4,4,3,2,1,3,3,2,3,5,3,1,2,4,2,2,1,4,4,4,4,3,2,4,5,5,4,4,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,4,5,3,2,3,4,4,3,3,2,2,2,3,7,7,7,15,5,5,45,25,20,17,3,3,51,12,39,10,10,10,30,10,20,20,0,0,60,30,30,19,1,1,57,32,25,20,0,0,60,32,28,15,5,5,45,12,33,20,0,0,60,52,8,20,0,0,60,12,48,15,5,5,45,0,45,24,251,75,55.56,85,23.53,50,33.33,100,50,95,56.14,100,53.33,75,26.67,100,86.67,100,20,17.33,24.11,275,251,,2,3,2,2,1,2,2,1,2,1,1,2,6,3,12,9,2,1,3,3,9,6,8,6,3,1,2,2,1,1,4,5,1,2,5,4,4,5,4,4,5,3,2,4,2,3,3,3,3,4,2,1,2,2,3,2.38,1.91,1.73,2,6.67,4.67,2.83,3,2.43,3.14,2,2.71,2.67,2.68,1.75,2.14,2,2.57,2.67,4.43,3.14,3.2,2.63,1.83,4,3.75,2.36,3.14,3.38,3.14,2.43,2.29,17.1,17.33,17.63,21.7,24.11,24,325,14,19.67,18.33,15.67,31.33,25.33,0,0,0.81455,-2.61966,-0.44197,0.98426,-0.45625,0.14839,0.32282,-0.55261,-0.33499,0.88617,-2.36482,0.33791
4,1,0,1,2,1,1,1,3,1,2,3,3,3,2,3,2,3,3,1,2,2,4,3,3,1,3,1,3,2,1,4,2,3,4,3,2,1,3,3,4,5,2,3,4,2,3,3,2,5,5,3,3,3,3,1,1,3,3,4,3,3,3,3,4,3,2,3,1,3,3,3,3,3,3,2,3,3,4,3,2,3,2,3,4,2,3,3,3,2,3,1,3,3,4,3,3,4,3,3,1,3,3,3,3,3,2,2,1,1,2,2,2,1,3,1,2,2,1,2,1,1,1,1,1,4,5,1,1,3,5,3,3,4,5,1,2,1,4,2,3,5,2,4,1,1,4,1,4,1,2,3,1,1,1,3,1,1,5,1,5,5,1,1,3,4,4,4,3,4,5,5,5,2,2,1,5,1,2,5,1,4,5,5,3,1,5,5,5,2,2,5,3,2,2,4,4,4,1,1,1,5,3,4,4,3,7,7,7,7,13,13,21,4,17,11,9,9,33,11,22,9,11,11,27,7,20,1,19,19,3,1,2,4,16,16,12,3,9,14,6,6,42,15,27,18,12,12,54,25,24,20,0,0,60,25,35,9,12,12,24,5,19,5,15,15,15,0,15,98,175,35,19.05,55,33.33,45,25.93,5,33.33,20,25,70,35.71,90,46.3,100,41.67,45,20.83,10.33,10.67,273,175,,3,3,2,2,4,3,1,2,3,2,2,4,8,10,6,8,6,6,15,15,9,9,4,4,5,5,5,5,5,5,1,3,1,4,4,1,4,2,5,4,3,5,1,2,4,3,5,1,1,4,4,4,5,5,5,2.38,2.64,2.36,2.46,8,8.67,3.17,2.86,2.57,2.71,3.5,2.29,3.17,2.89,1.75,2.14,1.88,1.57,4,2.14,4,2.93,1.75,4.83,4,3,1.91,4.14,4.38,1.71,3.86,4.29,9.8,10.33,10.75,9.6,10.67,11.5,303,9,6.33,15.67,7.33,6.33,18.33,0,0,-0.13464,0.62841,0.16422,-0.58382,0.51226,-1.04581,-0.24777,0.16703,0.60945,-0.75517,0.40585,-0.94481
5,1,0,1,999,1,2,2,999,99,4,1,3,1,1,3,3,4,4,3,1,4,4,1,3,1,2,1,3,2,1,1,1,1,1,2,2,1,4,4,1,3,4,1,1,3,1,1,3,1,1,1,1,2,4,1,1,6,4,4,3,4,3,3,2,4,2,3,3,4,3,4,1,4,3,4,4,3,3,4,2,3,3,4,2,3,4,3,3,4,3,4,1,4,3,3,3,4,3,3,3,3,3,4,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,5,3,3,4,1,4,4,2,3,2,5,3,5,3,4,2,2,5,1,3,1,1,3,2,5,5,1,3,1,1,4,4,3,5,2,1,2,3,3,3,5,3,4,4,3,4,3,3,3,5,5,2,3,3,3,4,3,5,4,5,5,2,3,3,3,3,4,3,4,2,2,3,4,2,2,5,3,3,3,3,3,2,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,1,1,2,3,1,1,1,4,12,3,3,3,3,1,1,4,8,1,1,4,4,4,1,3,5,4,4,3,3,4,5,3,5,5,3,5,5,3,3,4,4,3,3,3,3,4,3,1,3,3,1.63,1.45,1.36,1.48,2.67,4.67,3.33,3.57,2.57,3.57,2.67,3.14,3.5,3.19,1.33,1,1.25,3.43,3,4.57,4.57,3.89,3.63,3.17,3.5,3.5,3.18,3.29,4.13,3.71,3,2.43,,,,,,,,,,,,,,0,0,2.16771,-1.8442,-0.72529,1.39187,-1.06649,0.68138,1.91687,-0.81346,-1.31392,1.56448,-1.27995,0.59106
6,1,0,1,1,1,5,2,10,12,3,1,4,1,1,3,3,4,4,3,1,4,4,1,4,2,2,2,3,3,1,1,1,2,1,1,2,1,3,3,4,4,2,1,1,3,1,1,3,1,1,3,1,3,1,1,1,3,4,4,3,4,4,4,2,4,3,3,1,4,2,4,1,1,3,3,4,4,2,4,2,4,4,4,1,4,4,3,3,3,3,3,1,4,3,2,4,4,4,3,3,3,4,4,2,1,2,1,1,1,1,1,4,1,2,1,2,1,1,2,1,2,3,5,2,5,5,1,5,5,3,1,1,5,5,5,5,1,1,5,5,1,5,1,1,3,3,5,5,1,4,1,1,5,5,1,3,3,1,3,5,5,3,5,4,4,4,4,4,3,4,3,2,3,1,1,4,2,1,4,1,1,2,1,3,2,1,5,4,1,1,4,3,1,3,5,3,3,2,1,3,999,3,4,1,1,6,7,2,5,15,15,15,7,8,10,10,10,30,14,16,15,5,5,45,21,24,20,0,0,60,28,32,18,2,2,54,28,26,19,1,1,57,13,44,10,10,10,30,13,17,12,8,8,36,14,22,13,7,7,39,9,30,0,20,20,0,0,0,58,219,25,46.67,50,46.67,75,46.67,100,46.67,90,51.85,95,22.81,50,43.33,60,38.89,65,23.08,13.56,16.33,277,219,,2,2,1,1,2,1,1,1,2,2,2,4,8,8,3,3,3,3,3,3,1,3,4,4,5,4,3,1,4,5,3,5,1,1,1,5,1,5,5,2,5,5,1,3,5,3,4,1,2,5,5,3,4,5,3,1.5,1.73,1.55,1.59,3.67,4,3.17,3.57,2.71,3.71,2.33,3,3.5,3.14,1.58,1.57,1.5,2.71,2.17,4.43,4.43,3.43,3.75,3.67,4,3.75,3.18,3.86,1.88,1.86,3.29,3.33,12.2,13.56,14.63,14.7,16.33,17.5,297,10,19,11.67,14,23,12,0,0,2.03017,-1.58,0.68651,0.17454,-1.04204,-0.08204,1.6521,0.52659,-1.17827,0.15701,-1.13767,0.06003
7,1,0,1,1,1,3,2,14,16,2,2,3,2,2,1,2,4,3,1,1,3,3,2,2,2,1,2,4,3,2,1,1,2,2,1,2,1,2,2,2,3,3,2,2,3,5,3,2,2,3,2,5,3,2,1,2,4,4,4,4,3,3,3,2,4,2,3,2,3,3,3,2,3,3,3,3,3,2,4,2,3,3,3,2,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,4,3,3,3,2,2,3,2,2,1,1,2,1,1,2,1,1,2,1,1,3,2,2,4,4,3,5,3,4,4,2,3,2,4,2,3,4,5,3,2,4,1,3,2,3,4,4,3,3,4,3,2,2,5,5,3,4,4,1,5,4,5,2,3,3,4,4,3,3,3,3,3,3,3,2,1,4,1,3,4,3,2,2,2,3,2,2,3,4,3,2,3,3,4,3,3,2,3,3,4,2,3,4,4,3,3,6,6,6,3,17,17,9,4,5,5,15,15,15,7,8,6,14,14,18,7,11,2,18,18,6,2,4,0,20,20,0,0,0,2,18,18,6,3,3,4,16,16,12,12,5,7,7,13,13,21,11,10,10,10,10,30,18,8,12,12,24,11,13,141,65,15,44.44,25,46.67,30,38.89,10,33.33,0,,10,50,20,100,35,161.54,50,300,4.33,9.56,206,65,,3,3,1,2,4,2,2,3,2,3,3,3,6,9,6,6,10,6,4,6,10,6,3,6,3,4,4,2,2,3,4,4,4,2,4,5,3,4,3,3,4,4,2,3,4,3,4,3,2,4,2,3,3,2,4,1.5,2.09,2.45,2.02,6.5,6.5,3,3.14,2.86,2.86,3,3.14,2.67,2.95,1.42,1.71,1.56,4.43,3.17,3.71,3.43,3.68,3.88,3,3.5,3.25,3.55,3.57,2.63,2.29,2.86,3.14,4.7,4.33,4.5,9.7,9.56,10.25,231,4.67,1.33,7,6,1.67,21,0,0,1.05758,-1.45709,0.79221,-0.27137,-0.31237,0.23648,0.7713,0.61989,-0.339,-0.27729,-1.14705,0.47962
8,1,0,1,1,1,3,2,13,15,2,3,3,3,2,3,1,4,2,4,1,2,3,2,1,4,3,4,2,1,3,2,1,3,1,3,2,1,2,3,3,3,4,4,3,4,5,3,3,2,3,3,4,4,3,2,4,3,2,3,3,3,3,2,3,3,4,3,2,3,3,3,3,4,4,2,3,3,3,4,2,4,3,3,3,2,4,2,2,4,2,2,2,3,4,2,2,3,3,3,2,2,2,3,2,3,2,2,2,1,2,3,1,1,4,1,2,4,1,1,2,3,2,4,3,3,3,4,5,2,4,3,4,1,5,3,4,5,2,2,3,4,3,2,4,2,3,4,2,3,3,3,4,4,3,2,2,4,1,2,2,1,3,1,2,1,4,4,3,4,2,2,3,4,3,2,3,2,1,3,2,2,2,2,4,3,2,3,3,2,3,2,2,2,3,2,2,4,3,4,3,4,2,2,3,2,4,7,4,10,10,10,30,15,15,15,5,5,45,20,25,20,0,0,60,28,32,20,0,0,60,30,30,20,0,0,60,29,31,20,0,0,60,28,32,20,0,0,60,30,30,20,0,0,60,29,31,20,0,0,60,31,29,20,0,0,60,28,32,15,255,50,50,75,44.44,100,46.67,100,50,100,48.33,100,46.67,100,50,100,48.33,100,51.67,18.33,26.67,270,255,,3,4,1,3,1,3,2,4,4,3,2,4,12,12,16,12,15,9,6,9,12,12,8,16,4,3,4,2,3,2,2,2,1,2,4,2,3,4,2,3,3,2,4,2,3,2,3,3,3,3,4,3,3,2,3,2.5,2.45,2.64,2.53,11.5,11.67,2.83,3.43,2.43,2.86,3.33,2.14,2.83,2.84,1.58,2.57,2,2.57,2.67,3.57,2,2.7,2.5,3.17,4,2,2.45,2.71,2.25,2.29,2.71,2.71,18.5,18.33,19.38,26.8,26.67,28.13,302,15,20,20,21,29,30,0,0,0.39535,-1.15211,-0.46332,-0.97079,0.93062,-1.49996,-0.20787,-0.63386,1.27225,-1.27171,-1.32407,-0.93487
9,1,0,1,2,2,2,2,12,10,3,2,1,4,1,4,1,3,2,1,4,1,4,3,3,2,3,2,3,4,2,4,4,4,1,4,1,1,1,4,6,4,4,4,5,3,6,2,1,2,1,1,2,1,3,1,1,6,2,4,4,3,3,3,4,4,4,1,1,3,4,4,3,2,4,3,1,1,4,2,4,2,4,4,4,1,4,1,4,4,4,2,4,3,2,3,3,4,3,4,1,1,4,3,3,4,4,2,3,3,2,3,4,2,4,1,3,2,1,1,3,1,1,5,5,5,5,2,5,5,1,1,5,5,1,1,5,1,5,1,5,1,2,5,4,1,5,3,5,1,1,5,1,5,5,5,5,5,1,3,5,5,1,1,2,3,5,5,3,4,5,1,2,1,1,1,5,1,1,5,1,2,1,3,5,2,1,5,5,1,1,5,3,3,1,5,1,5,1,5,2,5,5,2,2,2,7,7,7,5,15,15,15,7,8,10,10,10,30,14,16,15,5,5,45,21,24,20,0,0,60,28,32,18,2,2,54,28,26,19,1,1,57,13,44,10,10,10,30,13,17,12,8,8,36,14,22,13,7,7,39,9,30,0,20,20,0,0,0,58,219,25,46.67,50,46.67,75,46.67,100,46.67,90,51.85,95,22.81,50,43.33,60,38.89,65,23.08,13.56,16.33,277,219,,2,4,2,3,4,4,1,2,1,4,1,1,24,16,12,15,6,2,2,1,6,3,1,1,3,5,5,1,1,4,5,1,5,1,5,5,4,1,2,5,1,5,1,2,5,1,4,1,1,5,3,5,5,1,4,2.75,2.45,2.64,2.61,8.5,6.33,2,3.14,3,2.71,3.67,2.86,3.5,2.98,2.58,3.14,2.63,3.29,4,2.43,4,3.43,4,3.33,5,2.5,3.36,4.43,1.88,1,3.29,3.57,12.2,13.56,14.63,14.7,16.33,17.5,297,10,19,11.67,14,23,12,0,0,-0.63396,0.07265,1.8376,-0.88658,-0.15651,-0.77785,-0.77239,1.81172,0.00771,-1.16639,-0.11735,-0.61856
10,1,0,1,1,2,5,2,17,19,3,2,3,1,2,4,2,3,3,2,1,3,3,1,4,2,2,2,3,4,2,1,2,1,1,3,2,1,3,4,3,2,3,4,4,2,5,1,5,4,2,3,2,2,2,4,3,4,3,4,3,3,2,3,4,4,3,3,2,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,4,3,3,2,3,2,3,1,1,3,1,1,2,1,2,2,1,2,1,1,1,1,2,4,3,3,4,5,2,5,2,5,3,5,3,4,4,2,4,2,2,1,2,3,4,3,4,2,2,3,2,4,2,2,2,3,2,2,3,4,1,1,4,4,2,2,4,2,4,2,3,3,2,2,3,2,3,4,4,2,3,3,3,3,2,3,4,3,2,3,2,2,3,3,3,3,2,2,2,3,3,3,2,2,4,6,3,5,15,15,15,5,10,10,10,10,30,7,23,8,12,12,24,4,20,3,17,17,9,1,8,6,14,14,18,2,16,14,6,6,42,3,39,0,20,20,0,0,0,8,12,12,24,1,23,0,20,20,0,0,0,0,20,20,0,0,0,126,139,25,33.33,50,23.33,40,16.67,15,11.11,30,11.11,70,7.14,0,,40,4.17,0,,6,2.56,265,139,,2,3,2,2,3,2,2,1,1,2,1,3,9,6,8,8,25,5,12,6,4,4,12,9,5,5,5,5,4,3,4,4,3,3,4,4,4,5,4,4,3,4,3,4,4,3,3,3,2,4,4,3,4,4,4,1.88,1.82,2,1.9,11.67,6.33,3.17,3.29,2.86,3.14,3.67,3.29,3,3.2,1.75,1.86,1.88,3.29,4,4,4.14,3.86,2.38,4.67,2,4,2.36,3.57,2.75,2.57,3,3.14,5.4,6,6.13,2.3,2.56,2.25,285,7.67,7.67,2.67,5.33,2,0.33,0,0,0.80673,0.04343,-0.06684,-0.13004,0.18862,0.05865,0.78335,-0.1262,0.06065,-0.04167,0.19636,0.08009
